valid,tmpf,p01i,relh,sknt,tmp_c,Td,P_mm,cumm_prec,HP_fresh_snow,snowfall,cummulative_snowfall,month
2024-01-23T17:56:00Z,27,0.02,92.05,0.00,-2.7777777777777777,-4.367777777777778,0.49,36.26,85.45527463401083,5.733993625303757,476.89025725499306,Jan
2024-01-23T18:56:00Z,26,0.04,95.93,0.00,-3.3333333333333335,-4.147333333333332,0.98,37.24,82.06999585303159,11.941026556830266,488.8312838118233,Jan
2024-01-23T20:56:00Z,26,0.01,92.01,0.00,-3.3333333333333335,-4.931333333333333,0.245,37.485,82.06999585303159,2.9852566392075666,491.8165404510309,Jan
2024-01-23T23:56:00Z,24,0.01,91.94,0.00,-4.444444444444445,-6.056444444444445,0.245,37.73,77.13390634480132,3.1762944677637543,494.99283491879464,Jan
2024-01-27T23:56:00Z,24,0.01,95.89,0.00,-4.444444444444445,-5.266444444444445,0.245,37.975,77.13390634480132,3.1762944677637543,498.1691293865584,Jan
2024-02-02T20:56:00Z,31,0.01,92.19,0.00,-0.5555555555555556,-2.117555555555556,0.245,38.22,109.27591273040682,2.2420311473804504,500.4111605339388,Feb
2024-02-02T21:56:00Z,30,0.01,88.44,0.00,-1.1111111111111112,-3.4231111111111114,0.245,38.465,101.29193205395168,2.4187513756722923,502.82991190961116,Feb
2024-02-02T22:56:00Z,28,0.02,92.08,0.00,-2.2222222222222223,-3.806222222222223,0.49,38.955,89.65045559050863,5.465672168339507,508.29558407795065,Feb
2024-02-02T23:56:00Z,27,0.02,95.95,0.00,-2.7777777777777777,-3.5877777777777773,0.49,39.445,85.45527463401083,5.733993625303757,514.0295777032544,Feb
2024-02-03T00:56:00Z,28,0.01,92.08,0.00,-2.2222222222222223,-3.806222222222223,0.245,39.69,89.65045559050863,2.7328360841697537,516.7624137874242,Feb
2024-02-03T04:56:00Z,26,0.02,92.01,0.00,-3.3333333333333335,-4.931333333333333,0.49,40.18,82.06999585303159,5.970513278415133,522.7329270658392,Feb
2024-02-03T05:56:00Z,26,0.01,92.01,0.00,-3.3333333333333335,-4.931333333333333,0.245,40.425,82.06999585303159,2.9852566392075666,525.7181837050468,Feb
2024-02-03T06:56:00Z,26,0.03,92.01,0.00,-3.3333333333333335,-4.931333333333333,0.735,41.16,82.06999585303159,8.9557699176227,534.6739536226695,Feb
2024-02-03T07:56:00Z,26,0.04,92.01,0.00,-3.3333333333333335,-4.931333333333333,0.98,42.14,82.06999585303159,11.941026556830266,546.6149801794999,Feb
2024-02-03T08:56:00Z,26,0.04,88.23,0.00,-3.3333333333333335,-5.687333333333333,0.98,43.12,82.06999585303159,11.941026556830266,558.5560067363301,Feb
2024-02-03T09:56:00Z,26,0.04,88.23,0.00,-3.3333333333333335,-5.687333333333333,0.98,44.1,82.06999585303159,11.941026556830266,570.4970332931604,Feb
2024-02-03T15:56:00Z,28,0.01,81.25,0.00,-2.2222222222222223,-5.972222222222222,0.245,44.345,89.65045559050863,2.7328360841697537,573.2298693773301,Feb
2024-02-03T19:56:00Z,24,0.01,88.13,0.00,-4.444444444444445,-6.818444444444445,0.245,44.589999999999996,77.13390634480132,3.1762944677637543,576.4061638450938,Feb
2024-02-03T20:56:00Z,23,0.02,95.88,0.00,-5,-5.824000000000001,0.49,45.08,75.35511232588772,6.5025448821693805,582.9087087272633,Feb
2024-02-03T21:56:00Z,23,0.02,91.9,0.00,-5,-6.619999999999999,0.49,45.57,75.35511232588772,6.5025448821693805,589.4112536094326,Feb
2024-02-03T22:56:00Z,23,0.02,91.9,0.00,-5,-6.619999999999999,0.49,46.06,75.35511232588772,6.5025448821693805,595.913798491602,Feb
2024-02-03T23:56:00Z,23,0.02,91.9,0.00,-5,-6.619999999999999,0.49,46.55,75.35511232588772,6.5025448821693805,602.4163433737714,Feb
2024-02-04T00:56:00Z,22,0.01,91.87,0.00,-5.555555555555555,-7.181555555555555,0.245,46.795,73.91972402907676,3.314406313308581,605.73074968708,Feb
2024-02-04T01:56:00Z,22,0.03,91.87,0.00,-5.555555555555555,-7.181555555555555,0.735,47.53,73.91972402907676,9.943218939925742,615.6739686270057,Feb
2024-02-04T02:56:00Z,22,0.01,88.02,0.00,-5.555555555555555,-7.951555555555556,0.245,47.775,73.91972402907676,3.314406313308581,618.9883749403143,Feb
2024-02-04T03:56:00Z,20,0.01,91.79,0.00,-6.666666666666667,-8.308666666666666,0.245,48.02,71.82677819786949,3.410984122454585,622.3993590627689,Feb
2024-02-04T04:56:00Z,20,0.02,87.92,0.00,-6.666666666666667,-9.082666666666666,0.49,48.51,71.82677819786949,6.82196824490917,629.221327307678,Feb
2024-02-04T05:56:00Z,20,0.02,87.92,0.00,-6.666666666666667,-9.082666666666666,0.49,49,71.82677819786949,6.82196824490917,636.0432955525872,Feb
2024-02-04T06:56:00Z,20,0.02,91.79,0.00,-6.666666666666667,-8.308666666666666,0.49,49.49,71.82677819786949,6.82196824490917,642.8652637974964,Feb
2024-02-04T07:56:00Z,20,0.02,87.92,0.00,-6.666666666666667,-9.082666666666666,0.49,49.98,71.82677819786949,6.82196824490917,649.6872320424055,Feb
2024-02-04T08:56:00Z,21,0.03,87.97,0.00,-6.111111111111112,-8.517111111111111,0.735,50.714999999999996,72.76144513859558,10.101503599880077,659.7887356422856,Feb
2024-02-04T09:56:00Z,21,0.02,91.83,0.00,-6.111111111111112,-7.745111111111112,0.49,51.205,72.76144513859558,6.734335733253385,666.523071375539,Feb
2024-02-05T04:56:00Z,15,0.02,87.65,0.00,-9.444444444444445,-11.914444444444444,0.49,51.695,69.25671080261088,7.075126645799755,673.5981980213388,Feb
2024-02-05T06:56:00Z,17,0.02,91.68,0.00,-8.333333333333334,-9.997333333333332,0.49,52.185,69.97281577713434,7.00271947838523,680.600917499724,Feb
2024-02-05T07:56:00Z,17,0.01,91.68,0.00,-8.333333333333334,-9.997333333333332,0.245,52.43,69.97281577713434,3.501359739192615,684.1022772389166,Feb
2024-02-05T08:56:00Z,21,0.02,95.84,0.00,-6.111111111111112,-6.943111111111111,0.49,52.92,72.76144513859558,6.734335733253385,690.83661297217,Feb
