valid,p01i,tmpf,sknt,relh,tmp,tmp_c,wind_ms,P_mm,CR_snow,CR_mix,P_corr,cummulative_precip_mm,cummulative_corr_precip_mm,snow_Ta,Td,snow_Td,snow_prob,snow_from_fraction,cumm_snow_Ta,cumm_snow_Td,cumm_snow_F
2023-11-14T07:56:00Z,0,24,0,74.26,-8,-4.4444444444,0,0,1,1.0104,0,186.944,193.0995300609502,0,-9.592444444399998,0,1.1789999999962801,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-14T08:56:00Z,0,30,0,65.94,-2,-1.1111111111,0,0,1,1.0104,0,186.944,193.0995300609502,0,-7.923111111100001,0,0.8999999999990701,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-14T09:56:00Z,0,38,3,42.11,6,3.3333333333,1.5432098765432098,0,0.9180824869477516,0.9236716049382716,0,186.944,193.0995300609502,0,-8.244666666699999,0,0.52800000000279,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-14T10:56:00Z,0,41,4,35.88,9,4.99999999995,2.05761316872428,0,0.8681428021259515,0.8947621399176955,0,186.944,193.0995300609502,0,-7.824000000050002,0,0.38850000000418505,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-14T12:56:00Z,0,42,8,31.64,10,5.5555555555,4.11522633744856,0,0.6215071595797365,0.7791242798353909,0,186.944,193.0995300609502,0,-8.1164444445,0,0.3420000000046501,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-14T13:56:00Z,0,43,7,30.44,11,6.1111111110500005,3.60082304526749,0,0.6862602333154918,0.808033744855967,0,186.944,193.0995300609502,0,-7.80088888895,0,0.295500000005115,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-15T14:56:00Z,0,43,4,42.95,11,6.1111111110500005,2.05761316872428,0,0.8681428021259515,0.8947621399176955,0,186.944,193.0995300609502,0,-5.29888888895,0,0.295500000005115,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-15T15:56:00Z,0,39,3,50.14,7,3.8888888888500004,1.5432098765432098,0,0.9180824869477516,0.9236716049382716,0,186.944,193.0995300609502,0,-6.083111111149999,0,0.48150000000325505,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-15T16:56:00Z,0,32,4,66.2,0,0,2.05761316872428,0,0.8681428021259515,0.8947621399176955,0,186.944,193.0995300609502,0,-6.76,0,0.807,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-15T17:56:00Z,0,32,3,69.04,0,0,1.5432098765432098,0,0.9180824869477516,0.9236716049382716,0,186.944,193.0995300609502,0,-6.191999999999998,0,0.807,0,41.104625034709315,82.09487721321163,106.9124844047941
