station,valid,lon,lat,elevation,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3,wxcodes
WYS,2023-09-08 02:55,-111.1176,44.6884,2026.60,FEW,M,M,10000.00,M,M,M
WYS,2023-09-08 03:35,-111.1176,44.6884,2026.60,FEW,FEW,M,8000.00,9000.00,M,M
WYS,2023-09-08 04:40,-111.1176,44.6884,2026.60,BKN,M,M,11000.00,M,M,M
WYS,2023-09-08 05:35,-111.1176,44.6884,2026.60,SCT,M,M,11000.00,M,M,M
WYS,2023-09-08 06:40,-111.1176,44.6884,2026.60,FEW,SCT,BKN,200.00,5500.00,7500.00,M
WYS,2023-09-08 07:40,-111.1176,44.6884,2026.60,OVC,M,M,10000.00,M,M,M
WYS,2023-09-08 08:40,-111.1176,44.6884,2026.60,BKN,OVC,M,7500.00,9000.00,M,M
WYS,2023-09-08 09:40,-111.1176,44.6884,2026.60,FEW,FEW,SCT,6500.00,7500.00,9000.00,M
WYS,2023-09-08 10:35,-111.1176,44.6884,2026.60,FEW,BKN,BKN,7500.00,9500.00,12000.00,M
WYS,2023-09-08 11:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-08 12:40,-111.1176,44.6884,2026.60,BKN,M,M,9500.00,M,M,M
WYS,2023-09-08 13:40,-111.1176,44.6884,2026.60,BKN,BKN,M,9000.00,11000.00,M,M
WYS,2023-09-08 14:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-08 15:40,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-08 16:55,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-08 17:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-08 18:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-08 19:55,-111.1176,44.6884,2026.60,FEW,M,M,8500.00,M,M,M
WYS,2023-09-08 20:40,-111.1176,44.6884,2026.60,SCT,SCT,M,8000.00,9500.00,M,M
WYS,2023-09-08 21:55,-111.1176,44.6884,2026.60,FEW,M,M,8500.00,M,M,M
WYS,2023-09-08 22:55,-111.1176,44.6884,2026.60,FEW,M,M,10000.00,M,M,M
WYS,2023-09-08 23:35,-111.1176,44.6884,2026.60,FEW,SCT,BKN,3300.00,5500.00,8500.00,M
WYS,2023-09-09 00:40,-111.1176,44.6884,2026.60,BKN,M,M,11000.00,M,M,M
WYS,2023-09-09 01:40,-111.1176,44.6884,2026.60,SCT,SCT,M,9500.00,11000.00,M,M
WYS,2023-09-09 02:55,-111.1176,44.6884,2026.60,SCT,M,M,10000.00,M,M,M
